player_id,player,pos,squad,age,standard_club,born,matches_played,standard_playing_time_starts,standard_playing_time_min,standard_playing_time_90s,goals,assists,standard_performance_g+a,standard_performance_g-pk,standard_performance_pk,standard_performance_pkatt,standard_performance_crdy,standard_performance_crdr,standard_per_90_minutes_gls,standard_per_90_minutes_ast,standard_per_90_minutes_g+a,standard_per_90_minutes_g-pk,standard_per_90_minutes_g+a-pk,shooting_90s,shooting_standard_gls,shots,shots_on_target,shooting_standard_sot%,shooting_standard_sh/90,shooting_standard_sot/90,shooting_standard_g/sh,shooting_standard_g/sot,shooting_standard_pk,shooting_standard_pkatt,misc_90s,yellow_cards,red_cards,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,playingtime_playing_time_mp,playingtime_playing_time_min,playingtime_playing_time_mn/mp,playingtime_playing_time_min%,playingtime_playing_time_90s,playingtime_starts_starts,playingtime_starts_mn/start,playingtime_starts_compl,playingtime_subs_subs,playingtime_subs_mn/sub,playingtime_subs_unsub,playingtime_team_success_ppm,playingtime_team_success_ong,playingtime_team_success_onga,playingtime_team_success_+/-,playingtime_team_success_+/-90,playingtime_team_success_on-off,minutes,played
1,Brenden Aaronson,MF,us USA,25,,2000,1,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8,0,3,1,33.3,3.55,1.18,0.0,0.0,0,0,0.8,0,0,0,2,1,0,1,0,1,,,0,1,76.0,76.0,16.9,0.8,1,76.0,0,0,,4,0.0,2.0,2.0,0.0,0.0,-0.72,76,True
2,Thelo Aasgaard,MF,no Norway,24,,2002,1,1,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1,2,1,50.0,2.0,1.0,0.5,1.0,0,0,1.0,0,0,0,0,3,0,0,3,1,,,0,1,90.0,90.0,15.8,1.0,1,90.0,1,0,,5,0.0,1.0,4.0,-3.0,-3.0,-3.94,90,True
3,Hamza Abdelkarim,FW,eg Egypt,18,,2008,4,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0,0,0,,0.0,0.0,,,0,0,0.7,0,0,0,2,0,0,0,0,0,,,0,4,60.0,15.0,12.5,0.7,0,,0,4,15.0,1,1.5,1.0,0.0,1.0,1.5,1.5,60,True
4,Hossam Abdelmaguid,DF,eg Egypt,25,,2001,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0,0,0,,0.0,0.0,,,0,0,0.7,0,0,0,1,0,0,0,1,0,,,0,2,59.0,30.0,12.3,0.7,0,,0,2,30.0,2,2.0,0.0,0.0,0.0,0.0,-0.21,59,True
5,Mohamed Abdelmonem,DF,eg Egypt,27,,1999,2,1,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,,0.0,0.0,,,0,0,0.2,0,0,0,1,0,0,0,0,0,,,0,2,14.0,7.0,2.9,0.2,1,13.0,0,1,1.0,1,2.0,1.0,1.0,0.0,0.0,-0.19,14,True
6,Ali Abdi,DF,tn Tunisia,32,,1993,3,3,269,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,1,0,0.0,0.33,0.0,0.0,,0,0,3.0,0,0,0,4,1,0,4,4,8,,,0,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,0.0,2.0,12.0,-10.0,-3.35,-3.35,269,True
7,Saud Abdulhamid,DF,sa Saudi Arabia,26,,1999,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3.0,0,2,0,0.0,0.67,0.0,0.0,,0,0,3.0,1,0,0,4,2,0,5,2,9,,,0,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,0.67,1.0,5.0,-4.0,-1.34,-1.34,269,True
8,Abdulla Abdullaev,DF,uz Uzbekistan,28,,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,,0.0,0.0,,,0,0,2.0,0,0,0,5,1,0,0,3,2,,,0,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.0,1.0,8.0,-7.0,-3.5,-1.5,180,True
9,Yusuf Abdurisag,FW,qa Qatar,26,,1999,2,2,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1,0,0,0,,0.0,0.0,,,0,0,1.1,0,0,0,1,2,0,0,1,2,,,0,2,98.0,49.0,36.3,1.1,2,49.0,0,0,,1,0.5,0.0,3.0,-3.0,-2.76,-0.14,98,True
10,Husam Abu Dahab,DF,jo Jordan,26,,2000,2,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,,0.0,0.0,,,0,0,2.0,1,0,0,2,1,0,0,0,3,,,0,2,178.0,89.0,65.9,2.0,2,89.0,0,0,,1,0.0,2.0,5.0,-3.0,-1.52,0.44,178,True
